Date,Open,High,Low,Close,Volume
11/30/2021,57830.11,59113.4,56057.28,57005.43,36708594618
11/29/2021,57291.9,58872.88,56792.53,57806.57,32370840356
11/28/2021,54813.02,57393.84,53576.74,57248.46,28116886357
11/27/2021,53736.43,55329.26,53668.36,54815.08,30560857714
11/26/2021,58960.29,59183.48,53569.76,53569.76,41810748221
11/25/2021,57165.42,59367.97,57146.69,57274.68,34284016248
11/24/2021,57565.85,57803.07,55964.22,56280.43,36635566789
11/23/2021,56304.56,57875.52,55632.76,57569.07,37485803899
11/22/2021,58706.85,59266.36,55679.84,56289.29,35036121783
11/21/2021,59730.51,60004.43,58618.93,58730.48,26123447605
11/20/2021,58115.08,59859.88,57469.73,59697.2,30624264863
11/19/2021,56896.13,58351.11,55705.18,58119.58,38702407772
11/18/2021,60360.14,60948.5,56550.79,56942.14,41388338699
11/17/2021,60139.62,60823.61,58515.41,60368.01,39178392930
11/16/2021,63721.2,63721.2,59016.34,60161.25,46844335592
11/15/2021,65521.29,66281.57,63548.14,63557.87,30558763548
11/14/2021,64455.37,65495.18,63647.81,65466.84,25122092191
11/13/2021,64158.12,64915.67,63303.73,64469.53,30474228777
11/12/2021,64863.98,65460.81,62333.91,64155.94,36084893887
11/11/2021,64978.89,65579.01,64180.49,64949.96,35880633236
11/10/2021,66953.34,68789.63,63208.11,64995.23,48730828378
11/9/2021,67549.74,68530.34,66382.06,66971.83,42357991721
11/8/2021,63344.07,67673.74,63344.07,67566.83,41125608330
11/7/2021,61554.92,63326.99,61432.49,63326.99,24726754302
11/6/2021,61068.87,61590.68,60163.78,61527.48,29094934221
11/5/2021,61460.08,62541.47,60844.61,61125.67,30605102446
11/4/2021,62941.8,63123.29,60799.66,61452.23,32615846901
11/3/2021,63254.33,63516.94,61184.24,62970.05,36124731509
11/2/2021,60963.25,64242.79,60673.06,63226.4,37746665647
11/1/2021,61320.45,62419,59695.18,61004.41,36150572843
10/31/2021,61850.49,62406.17,60074.33,61318.96,32241199927
10/30/2021,62239.36,62330.15,60918.39,61888.83,32157938616
10/29/2021,60624.87,62927.61,60329.97,62227.96,36856881767
10/28/2021,58470.73,62128.63,58206.92,60622.14,45257083247
10/27/2021,60352,61435.18,58208.19,58482.39,43657076893
10/26/2021,63032.76,63229.03,59991.16,60363.79,34878965587
10/25/2021,60893.93,63729.33,60691.8,63039.83,31064911614
10/24/2021,61368.34,61505.8,59643.35,60930.84,27316183882
10/23/2021,60694.63,61743.88,59826.52,61393.62,26882546034
